,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Coef.,S.E.,p-value,Coef.,S.E.,Coef.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,m,m,m,m,m,m,m,m,m,m,347,"(1,6)",353,"(1,1)",m,m,m,m,m,m,m,m,m,m,6,"(4,4)","5,9","(4,4)","0,175 ",m,m,m,m
Lebanon,m,m,m,m,m,m,m,m,m,m,347,"(4,4)",353,"(4,3)",m,m,m,m,m,m,m,m,m,m,7,"(7,3)","6,8","(7,3)","0,352 ",m,m,m,m
Macao (China),m,m,498,"(2,2)",492,"(1,1)",487,"(0,9)",509,"(0,9)",509,"(1,3)",525,"(1,2)",m,m,27,"(8,2)",33,"(5,5)",38,"(3,8)",16,"(4,0)",16,"(4,3)","6,0","(1,3)","0,000 ","5,9","(0,4)","0,3","(0,0)"
Malaysia,m,m,m,m,m,m,414,"(2,9)",398,"(3,3)",m,m,415,"(2,9)",m,m,m,m,m,m,1,"(5,4)",17,"(5,8)",m,m,"2,2","(2,0)","0,260 ",m,m,m,m
Malta,m,m,m,m,m,m,442,"(1,6)",m,m,447,"(1,8)",448,"(1,7)",m,m,m,m,m,m,6,"(4,2)",m,m,2,"(4,6)","2,3","(1,5)","0,127 ",m,m,m,m
Moldova,m,m,m,m,m,m,388,"(2,8)",m,m,416,"(2,5)",424,"(2,4)",m,m,m,m,m,m,36,"(5,1)",m,m,8,"(5,3)","13,7","(1,9)","0,000 ",m,m,m,m
Montenegro,m,m,m,m,392,"(1,2)",408,"(1,7)",422,"(1,2)",427,"(1,6)",421,"(1,1)",m,m,m,m,29,"(5,5)",14,"(4,1)",-1,"(4,1)",-6,"(4,4)","7,7","(1,3)","0,000 ","-2,4","(0,4)","-0,4","(0,0)"
Morocco,m,m,m,m,m,m,m,m,m,m,m,m,359,"(3,1)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
North Macedonia,373,"(1,9)",m,m,m,m,m,m,m,m,352,"(1,4)",393,"(1,1)",20,"(4,6)",m,m,m,m,m,m,m,m,41,"(4,3)","1,1","(4,0)","0,791 ",m,m,m,m
Panama,m,m,m,m,m,m,371,"(6,5)",m,m,m,m,377,"(3,0)",m,m,m,m,m,m,6,"(8,0)",m,m,m,m,"2,1","(2,7)","0,435 ",m,m,m,m
Peru,327,"(4,4)",m,m,m,m,370,"(4,0)",384,"(4,3)",398,"(2,9)",401,"(3,0)",73,"(6,7)",m,m,m,m,31,"(6,1)",16,"(6,5)",3,"(5,7)","13,5","(1,5)","0,000 ","2,2","(0,9)","-0,1","(0,1)"
Philippines,m,m,m,m,m,m,m,m,m,m,m,m,340,"(3,3)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
